step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
547,0.84744,0.64444,,
548,0.78768,0.71111,,
549,0.80047,0.73333,,
550,0.94838,0.62222,,
551,0.95791,0.63333,,
552,0.94133,0.64444,,
553,0.74488,0.74444,,
554,0.86112,0.68889,,
555,0.79294,0.74444,,
556,0.81023,0.72222,,
557,0.83383,0.67778,,
558,0.77449,0.71111,,
559,0.85537,0.7,,
560,0.73172,0.75556,,
561,0.9089,0.65556,,
562,0.7889,0.74444,,
563,0.79446,0.67778,,
564,0.84023,0.76667,,
565,0.86015,0.67778,,
566,0.99513,0.7,,
567,0.77518,0.7,,
568,0.76567,0.71111,,
569,0.94006,0.64444,,
570,0.83355,0.7,,
571,0.8396,0.72222,,
572,0.84583,0.7,,
573,0.79741,0.67778,,
574,0.7961,0.73333,,
575,0.91178,0.67778,,
576,0.92201,0.67778,,
577,0.77965,0.74444,,
578,0.65259,0.8,,
579,0.95296,0.64444,,
580,0.85986,0.67778,,
581,0.90007,0.67778,,
582,0.98399,0.63333,,
583,0.84247,0.73333,,
584,0.80649,0.72222,,
585,0.87209,0.67778,,
586,0.71826,0.74444,,
587,0.85122,0.68889,,
588,0.9036,0.64444,,
589,0.85171,0.63333,,
590,0.87469,0.66667,,
591,0.82168,0.74444,,
592,0.72453,0.72222,,
593,0.89434,0.63333,,
594,0.8276,0.63333,,
595,0.97986,0.62222,,
596,0.75759,0.77778,,
597,0.95997,0.61111,,
598,1.0752,0.68889,,
599,0.67254,0.77778,,
600,0.80986,0.71111,0.85803,0.68889
601,0.99742,0.62222,,
602,0.83396,0.68889,,
603,0.79923,0.66667,,
604,0.68523,0.78889,,
605,0.67247,0.8,,
606,0.82544,0.66667,,
607,0.66743,0.75556,,
608,1.05778,0.57778,,
609,0.92485,0.67778,,
610,1.04304,0.66667,,
611,0.90147,0.68889,,
612,0.80205,0.73333,,
613,0.81126,0.72222,,
614,0.69304,0.78889,,
615,0.87373,0.7,,
616,0.89638,0.65556,,
617,0.77188,0.7,,
618,0.73285,0.8,,
619,0.88294,0.63333,,
620,1.04235,0.63333,,
621,0.67787,0.75556,,
622,0.8864,0.68889,,
623,0.76199,0.75556,,
624,0.95148,0.63333,,
625,0.70741,0.78889,,
626,0.64819,0.8,,
627,0.89514,0.61111,,
628,0.69166,0.75556,,
629,0.84663,0.67778,,
630,0.7209,0.74444,,
631,0.94683,0.63333,,
632,1.09496,0.6,,
633,0.98135,0.65556,,
634,0.76978,0.73333,,
635,1.10132,0.56667,,
636,0.91536,0.67778,,
637,0.65489,0.75556,,
638,0.78413,0.76667,,
639,0.95664,0.6,,
640,0.88007,0.63333,,
641,0.80294,0.68889,,
642,0.88334,0.73333,,
643,0.86723,0.66667,,
644,0.85924,0.73333,,
645,0.90999,0.65556,,
646,0.96059,0.63333,,
647,0.98927,0.58889,,
648,0.78382,0.71111,,
649,1.04791,0.55556,,
650,0.72264,0.74444,,
651,0.95485,0.66667,,
652,0.98451,0.67778,,
653,0.75445,0.72222,,
654,0.94607,0.67778,,
655,1.04872,0.62222,,
656,0.85375,0.67778,,
657,0.87097,0.64444,,
658,0.9314,0.65556,,
659,0.73831,0.75556,,
660,0.79888,0.72222,,
661,0.88835,0.68889,,
662,0.79328,0.73333,,
663,0.83537,0.67778,,
664,0.79001,0.7,,
665,0.8881,0.66667,,
666,0.82138,0.77778,,
667,0.8582,0.68889,,
668,0.74049,0.71111,,
669,0.92817,0.65556,,
670,0.97817,0.66667,,
671,0.7477,0.71111,,
672,1.03842,0.65556,,
673,0.82806,0.66667,,
674,0.92097,0.67778,,
675,0.60585,0.81111,,
676,0.89209,0.65556,,
677,1.02697,0.62222,,
678,0.8792,0.68889,,
679,0.78553,0.72222,,
680,0.92116,0.66667,,
681,0.80832,0.72222,,
682,0.85167,0.72222,,
683,0.84685,0.68889,,
684,0.78979,0.72222,,
685,0.77505,0.75556,,
686,0.78444,0.71111,,
687,0.71748,0.73333,,
688,0.71072,0.77778,,
689,0.67106,0.76667,,
690,0.9134,0.67778,,
691,0.99607,0.66667,,
692,0.92792,0.7,,
693,0.67594,0.81111,,
694,0.67537,0.72222,,
695,0.76933,0.73333,,
696,0.8484,0.68889,,
697,0.85495,0.72222,,
698,0.85563,0.65556,,
699,0.88358,0.7,,
700,0.93569,0.64444,0.77408,0.74444
701,0.84176,0.68889,,
702,0.8226,0.71111,,
703,0.96488,0.64444,,
704,1.00464,0.62222,,
705,0.78389,0.74444,,
706,1.07904,0.62222,,
707,0.89723,0.68889,,
708,0.8233,0.73333,,
709,0.96244,0.67778,,
710,0.90624,0.66667,,
711,0.86764,0.71111,,
712,0.9256,0.64444,,
713,0.75909,0.71111,,
714,0.77645,0.71111,,
715,0.83095,0.72222,,
716,0.6885,0.75556,,
717,0.7227,0.8,,
718,1.10925,0.6,,
719,0.82679,0.71111,,
720,0.82447,0.75556,,
721,0.81608,0.73333,,
722,1.06241,0.6,,
723,0.7835,0.72222,,
724,0.75106,0.73333,,
725,0.90036,0.68889,,
726,0.82009,0.7,,
727,0.9038,0.68889,,
728,0.85356,0.66667,,
729,0.856,0.71111,,
730,0.7813,0.71111,,
731,0.91641,0.67778,,
732,0.80206,0.74444,,
733,0.90468,0.71111,,
734,1.02735,0.61111,,
735,0.83399,0.65556,,
736,0.88779,0.68889,,
737,0.73057,0.73333,,
738,1.00817,0.61111,,
739,0.74365,0.72222,,
740,0.89474,0.66667,,
741,0.60182,0.83333,,
742,0.86002,0.71111,,
743,0.98499,0.62222,,
744,0.88304,0.7,,
745,0.77009,0.7,,
746,0.82358,0.74444,,
747,0.73429,0.78889,,
748,0.79487,0.7,,
749,0.71079,0.74444,,
750,0.85342,0.74444,,
751,0.66214,0.78889,,
752,0.83191,0.68889,,
753,0.7548,0.68889,,
754,0.89533,0.7,,
755,0.78935,0.71111,,
756,0.86416,0.71111,,
757,0.87295,0.67778,,
758,0.92841,0.66667,,
759,0.88069,0.68889,,
760,0.61141,0.8,,
761,0.87618,0.64444,,
762,0.77267,0.74444,,
763,0.90297,0.72222,,
764,0.92327,0.67778,,
765,0.79867,0.71111,,
766,0.94117,0.67778,,
767,0.7447,0.74444,,
768,0.77587,0.71111,,
769,0.54104,0.85556,,
770,0.62869,0.81111,,
771,0.9995,0.62222,,
772,0.66986,0.73333,,
773,0.87846,0.66667,,
774,0.57726,0.74444,,
775,1.01948,0.63333,,
776,0.73239,0.75556,,
777,0.88705,0.7,,
778,0.80924,0.71111,,
779,0.80731,0.75556,,
780,0.70326,0.75556,,
781,0.92043,0.63333,,
782,0.77162,0.7,,
783,0.77474,0.72222,,
784,0.87294,0.66667,,
785,0.97067,0.63333,,
786,0.78397,0.74444,,
787,0.6425,0.78889,,
788,0.77834,0.73333,,
789,0.82764,0.67778,,
790,0.87917,0.65556,,
791,0.90055,0.65556,,
792,0.86569,0.68889,,
793,0.88231,0.65556,,
794,0.72272,0.72222,,
795,0.67236,0.77778,,
796,0.58494,0.82222,,
797,0.72628,0.73333,,
798,0.91572,0.66667,,
799,0.79054,0.74444,,
800,0.96653,0.64444,0.71172,0.75556
801,0.79448,0.7,,
802,0.75913,0.72222,,
803,0.7567,0.76667,,
804,0.83817,0.68889,,
805,0.7992,0.77778,,
806,1.02918,0.63333,,
807,0.62957,0.78889,,
808,0.73933,0.8,,
809,0.79683,0.7,,
810,1.02374,0.57778,,
811,0.73241,0.76667,,
812,0.84803,0.67778,,
813,0.74689,0.71111,,
814,0.7404,0.74444,,
815,0.97413,0.65556,,
816,0.80431,0.71111,,
817,0.7256,0.76667,,
818,0.86488,0.68889,,
819,0.60237,0.77778,,
820,0.78461,0.75556,,
821,0.88182,0.71111,,
822,0.70889,0.73333,,
823,0.75842,0.76667,,
824,0.71737,0.75556,,
825,0.68802,0.78889,,
826,0.77166,0.7,,
827,0.96675,0.64444,,
828,0.6715,0.8,,
829,0.83921,0.72222,,
830,0.98312,0.67778,,
831,0.94168,0.66667,,
832,0.68316,0.77778,,
833,0.91728,0.64444,,
834,0.78862,0.71111,,
835,0.6484,0.77778,,
836,0.9617,0.64444,,
837,0.89513,0.68889,,
838,0.92238,0.71111,,
839,0.55689,0.84444,,
840,0.81311,0.72222,,
841,0.78832,0.73333,,
842,0.89215,0.68889,,
843,0.829,0.7,,
844,0.85543,0.68889,,
845,0.72827,0.76667,,
846,0.73616,0.75556,,
847,0.78579,0.74444,,
848,0.97051,0.66667,,
849,0.93594,0.66667,,
850,0.83669,0.73333,,
851,0.85376,0.68889,,
852,0.93234,0.65556,,
853,0.77375,0.74444,,
854,0.86825,0.68889,,
855,0.82354,0.71111,,
856,0.77546,0.7,,
857,0.91056,0.66667,,
858,0.73748,0.75556,,
859,0.78574,0.71111,,
860,0.59805,0.78889,,
861,0.71933,0.77778,,
862,1.00244,0.67778,,
863,0.68957,0.78889,,
864,0.86737,0.7,,
865,0.81648,0.68889,,
866,0.80542,0.73333,,
867,0.65637,0.74444,,
868,0.93505,0.7,,
869,0.71912,0.76667,,
870,0.8611,0.68889,,
871,0.88987,0.65556,,
872,0.92592,0.67778,,
873,0.7134,0.76667,,
874,0.83737,0.67778,,
875,0.91393,0.61111,,
876,0.76344,0.73333,,
877,0.92511,0.68889,,
878,0.72745,0.73333,,
879,0.84816,0.74444,,
880,0.72113,0.76667,,
881,0.85901,0.7,,
882,0.69439,0.78889,,
883,0.81297,0.68889,,
884,0.9147,0.64444,,
885,0.66047,0.77778,,
886,0.81656,0.68889,,
887,0.91487,0.66667,,
888,0.88201,0.65556,,
889,1.00758,0.6,,
890,0.91079,0.63333,,
891,0.7092,0.75556,,
892,0.70643,0.72222,,
893,0.918,0.63333,,
894,0.93046,0.66667,,
895,0.78829,0.72222,,
896,0.71024,0.75556,,
897,0.88781,0.7,,
898,0.78593,0.73333,,
899,0.91407,0.65556,,
900,0.81833,0.68889,0.76971,0.72222
901,0.92207,0.65556,,
902,0.72031,0.75556,,
903,0.96173,0.66667,,
904,0.65812,0.74444,,
905,0.91844,0.63333,,
906,0.67583,0.75556,,
907,0.90228,0.73333,,
908,0.94494,0.62222,,
909,0.8047,0.74444,,
910,0.73873,0.74444,,
911,0.78127,0.73333,,
912,0.79969,0.65556,,
913,0.70237,0.75556,,
914,0.83486,0.71111,,
915,0.63297,0.78889,,
916,0.78122,0.71111,,
917,0.6453,0.82222,,
918,0.76029,0.72222,,
919,0.689,0.76667,,
920,0.85622,0.68889,,
921,0.73834,0.74444,,
922,0.78254,0.73333,,
923,0.7637,0.72222,,
924,0.84165,0.66667,,
925,0.8634,0.7,,
926,0.79459,0.68889,,
927,0.82926,0.73333,,
928,0.8824,0.65556,,
929,0.777,0.71111,,
930,0.7287,0.75556,,
931,0.81145,0.71111,,
932,0.8016,0.72222,,
933,0.84842,0.65556,,
934,0.91579,0.64444,,
